# ALEPH 1994 run list, built 2026-09-18 by build_run_list.py
# database: aleph.db (ALEPH run database, SQLite); event-class counts: class_counts_raw_1994.json (count_event_classes.py)
# selection: VDET, ITC, TPC = P and no subsystem D; our veto 57 runs; truncated counters: class16 / n_z0 > 1.1
# lepton-pair monitor (class 15): 6.1201 per nb^-1 on 1215 PERF runs 1994-07-01..1994-09-30, 28.27 pb^-1 SICAL
# fill factor = lepton-pair / SICAL luminosity of the fill's clean runs; fill_rescaled = 1 when |factor - 1| > 0.05 and > 4.0 sigma
# luminosities in nb^-1; the luminosity policy is applied by src/run_list.py
run,fill,date,ecm_gev,run_quality,vdet,itc,tpc,ecal,hcal,sical,lcal,trigger,daq,run_coord,n_events,n_z0,n_bhabha,lumi_sical_nb,lumi_status,class15,class16,truncated,reason,selected,fill_factor,fill_factor_err,fill_rescaled,lumi_leptonpair_nb
25520,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,1057,80,,,Unkn,14,80,0,flags,0,1.0000,0.0000,0,2.288
25521,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,3846,294,,,Unkn,28,179,0,flags,0,1.0000,0.0000,0,4.575
25522,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,7286,722,,,Unkn,62,334,0,flags,0,1.0000,0.0000,0,10.131
25527,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,3345,584,,,Unkn,47,272,0,flags,0,1.0000,0.0000,0,7.680
25528,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,5772,570,,,Unkn,53,264,0,flags,0,1.0000,0.0000,0,8.660
25530,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,4827,248,,,Unkn,54,249,0,flags,0,1.0000,0.0000,0,8.823
25531,2057,1994-05-12,91.144,MAYB,D,P,M,M,D,D,P,P,M,P,4487,233,,,Unkn,50,233,0,flags,0,1.0000,0.0000,0,8.170
25532,2057,1994-05-12,91.144,MAYB,M,P,M,M,D,D,P,P,M,P,5660,312,,,Unkn,49,312,0,flags,0,1.0000,0.0000,0,8.006
25536,2057,1994-05-12,91.144,MAYB,M,P,M,M,D,D,P,P,M,P,6543,338,,,Unkn,68,338,0,flags,0,1.0000,0.0000,0,11.111
25537,2057,1994-05-12,91.144,MAYB,M,P,M,M,D,D,P,P,M,P,1988,106,,,Unkn,25,106,0,flags,0,1.0000,0.0000,0,4.085
25538,2057,1994-05-12,91.144,MAYB,M,P,M,M,D,D,P,P,M,P,6636,324,,,Unkn,61,323,0,flags,0,1.0000,0.0000,0,9.967
25541,2057,1994-05-12,91.144,MAYB,M,P,M,M,D,D,P,P,M,P,3418,121,,,Unkn,23,121,0,flags,0,1.0000,0.0000,0,3.758
25543,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6604,281,,,Unkn,56,280,0,flags,0,1.0000,0.0000,0,9.150
25545,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,2943,124,,,Unkn,12,124,0,flags,0,1.0000,0.0000,0,1.961
25546,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6636,321,,,Unkn,49,321,0,flags,0,1.0000,0.0000,0,8.006
25549,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6353,344,,,Unkn,80,344,0,flags,0,1.0000,0.0000,0,13.072
25550,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6493,298,,,Unkn,44,298,0,flags,0,1.0000,0.0000,0,7.189
25551,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6639,292,,,Unkn,66,292,0,flags,0,1.0000,0.0000,0,10.784
25552,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,1698,99,,,Unkn,25,99,0,flags,0,1.0000,0.0000,0,4.085
25553,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6455,361,,,Unkn,66,361,0,flags,0,1.0000,0.0000,0,10.784
25554,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,M,P,6369,373,,,Unkn,72,373,0,flags,0,1.0000,0.0000,0,11.765
25555,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,P,P,6278,359,,,Unkn,74,359,0,flags,0,1.0000,0.0000,0,12.091
25556,2057,1994-05-12,91.144,MAYB,P,P,M,M,M,D,P,P,P,P,3792,234,,,Unkn,41,235,0,flags,0,1.0000,0.0000,0,6.699
25587,2058,1994-05-12,91.144,MAYB,P,P,M,M,D,D,P,P,P,P,6887,0,,,Unkn,59,300,0,flags,0,1.0000,0.0000,0,9.640
25588,2058,1994-05-13,91.144,MAYB,P,P,M,M,D,D,P,P,P,P,6807,0,,,Unkn,74,296,0,flags,0,1.0000,0.0000,0,12.091
25589,2058,1994-05-13,91.144,MAYB,P,P,M,M,D,D,P,P,P,P,2858,0,,,Unkn,26,130,0,flags,0,1.0000,0.0000,0,4.248
25591,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6761,257,,,Unkn,59,279,0,flags,0,1.0000,0.0000,0,9.640
25596,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,3890,176,,,Unkn,31,176,0,flags,0,1.0000,0.0000,0,5.065
25598,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6743,323,,,Unkn,82,323,0,flags,0,1.0000,0.0000,0,13.399
25599,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,5960,331,,,Unkn,63,333,0,flags,0,1.0000,0.0000,0,10.294
25600,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6603,334,,,Unkn,76,335,0,flags,0,1.0000,0.0000,0,12.418
25601,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6568,315,,,Unkn,49,316,0,flags,0,1.0000,0.0000,0,8.006
25602,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6708,346,,,Unkn,67,347,0,flags,0,1.0000,0.0000,0,10.948
25603,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6604,341,,,Unkn,53,341,0,flags,0,1.0000,0.0000,0,8.660
25604,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6551,365,,,Unkn,62,364,0,flags,0,1.0000,0.0000,0,10.131
25605,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6669,320,,,Unkn,72,320,0,flags,0,1.0000,0.0000,0,11.765
25606,2058,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,4558,233,,,Unkn,49,232,0,flags,0,1.0000,0.0000,0,8.006
25620,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,5527,145,,,Unkn,31,144,0,flags,0,1.0000,0.0000,0,5.065
25624,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6208,168,,,Unkn,41,187,0,flags,0,1.0000,0.0000,0,6.699
25625,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,1501,59,,,Unkn,14,59,0,flags,0,1.0000,0.0000,0,2.288
25626,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,1454,66,,,Unkn,19,66,0,flags,0,1.0000,0.0000,0,3.105
25630,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,23,227,,,Unkn,46,227,0,flags,0,1.0000,0.0000,0,7.516
25631,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6515,277,,,Unkn,77,275,0,flags,0,1.0000,0.0000,0,12.582
25632,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,3454,357,,,Unkn,74,356,0,flags,0,1.0000,0.0000,0,12.091
25633,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,2908,377,,,Unkn,80,378,0,flags,0,1.0000,0.0000,0,13.072
25634,2060,1994-05-13,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6426,400,,,Unkn,86,400,0,flags,0,1.0000,0.0000,0,14.052
25635,2060,1994-05-14,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,4551,268,,,Unkn,52,267,0,flags,0,1.0000,0.0000,0,8.497
25636,2060,1994-05-14,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,1565,92,,,Unkn,15,92,0,flags,0,1.0000,0.0000,0,2.451
25637,2060,1994-05-14,91.144,MAYB,P,P,M,M,M,D,D,P,P,P,6439,370,,,Unkn,69,370,0,flags,0,1.0000,0.0000,0,11.274
